State           Win Chance      Roll 2          Roll 3          Roll 4          Roll 5          Roll 6          Roll 7          Roll 8          Roll 9          Roll 10         Roll 11         Roll 12        
000010011100    0.05129         None            [3]             [4]             [5]             None            [3, 4]          [8]             [4, 5]          None            [3, 8]          [4, 8]         
000010011101    0.08182         None            [3]             [4]             [5]             [1, 5]          [3, 4]          [8]             [1, 8]          [1, 4, 5]       [3, 8]          [4, 8]         
000010011110    0.08033         [2]             [3]             [4]             [5]             [2, 4]          [3, 4]          [8]             [4, 5]          [2, 8]          [3, 8]          [4, 8]         
000010011111    0.11413         [2]             [3]             [4]             [5]             [1, 5]          [3, 4]          [8]             [1, 8]          [2, 8]          [3, 8]          [4, 8]         
000010100000    0.03858         None            None            None            None            [6]             None            [8]             None            None            None            None           
000010100001    0.07716         None            None            None            None            [6]             [1, 6]          [8]             [1, 8]          None            None            None           
000010100010    0.04565         [2]             None            None            None            [6]             None            [8]             None            [2, 8]          None            None           
000010100011    0.08693         [2]             [1, 2]          None            None            [6]             [1, 6]          [8]             [1, 8]          [2, 8]          [1, 2, 8]       None           
000010100100    0.05273         None            [3]             None            None            [6]             None            [8]             [3, 6]          None            [3, 8]          None           
000010100101    0.08423         None            [3]             [1, 3]          None            [6]             [1, 6]          [8]             [1, 8]          [1, 3, 6]       [3, 8]          [1, 3, 8]      
000010100110    0.05846         [2]             [3]             None            [2, 3]          [6]             None            [8]             [3, 6]          [2, 8]          [3, 8]          None           
000010100111    0.09144         [2]             [3]             [1, 3]          [2, 3]          [6]             [1, 6]          [8]             [1, 8]          [2, 8]          [3, 8]          [1, 3, 8]      
000010101000    0.04051         None            None            [4]             None            [6]             None            [8]             None            [4, 6]          None            [4, 8]         
000010101001    0.07536         None            None            [4]             [1, 4]          [6]             [1, 6]          [8]             [1, 8]          [4, 6]          [1, 4, 6]       [4, 8]         
000010101010    0.03631         [2]             None            [4]             None            [6]             None            [8]             None            [2, 8]          None            [4, 8]         
000010101011    0.08605         [2]             [1, 2]          [4]             [1, 4]          [6]             [1, 6]          [8]             [1, 8]          [2, 8]          [1, 2, 8]       [4, 8]         
000010101100    0.05358         None            [3]             [4]             None            [6]             [3, 4]          [8]             [3, 6]          [4, 6]          [3, 8]          [4, 8]         
000010101101    0.08259         None            [3]             [4]             [1, 4]          [6]             [3, 4]          [8]             [1, 8]          [4, 6]          [3, 8]          [4, 8]         
000010101110    0.07264         [2]             [3]             [4]             [2, 3]          [6]             [3, 4]          [8]             [3, 6]          [2, 8]          [3, 8]          [4, 8]         
000010101111    0.10972         [2]             [3]             [4]             [2, 3]          [6]             [1, 6]          [8]             [1, 8]          [2, 8]          [3, 8]          [4, 8]         
000010110000    0.02829         None            None            None            [5]             [6]             None            [8]             None            None            [5, 6]          None           
000010110001    0.05382         None            None            None            [5]             [6]             [1, 6]          [8]             [1, 8]          None            [5, 6]          [1, 5, 6]      
000010110010    0.04541         [2]             None            None            [5]             [6]             [2, 5]          [8]             None            [2, 8]          [5, 6]          None           
000010110011    0.07841         [2]             [1, 2]          None            [5]             [6]             [2, 5]          [8]             [1, 8]          [2, 8]          [1, 2, 8]       [1, 5, 6]      
000010110100    0.03113         None            [3]             None            [5]             [6]             None            [8]             [3, 6]          None            [3, 8]          None           
000010110101    0.06597         None            [3]             [1, 3]          [5]             [6]             [1, 6]          [8]             [1, 8]          [1, 3, 6]       [3, 8]          [1, 3, 8]      
000010110110    0.06141         [2]             [3]             None            [5]             [6]             [2, 5]          [8]             [3, 6]          [2, 8]          [3, 8]          None           
000010110111    0.09811         [2]             [3]             [1, 3]          [5]             [6]             [2, 5]          [8]             [1, 8]          [2, 8]          [3, 8]          [1, 3, 8]      
000010111000    0.03438         None            None            [4]             [5]             [6]             None            [8]             [4, 5]          [4, 6]          [5, 6]          [4, 8]         
000010111001    0.06154         None            None            [4]             [5]             [6]             [1, 6]          [8]             [4, 5]          [4, 6]          [5, 6]          [4, 8]         
